state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-01-01,Parts per billion Carbon,No Events,1,100.0,Y,3.0,3.0,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-01-07,Parts per billion Carbon,No Events,1,100.0,Y,1.8,1.8,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-01-13,Parts per billion Carbon,No Events,1,100.0,Y,1.2,1.2,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-01-19,Parts per billion Carbon,No Events,1,100.0,Y,2.3,2.3,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-01-25,Parts per billion Carbon,No Events,1,100.0,Y,1.4,1.4,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-01-31,Parts per billion Carbon,No Events,1,100.0,Y,1.8,1.8,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-02-06,Parts per billion Carbon,No Events,1,100.0,Y,1.0,1.0,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-02-12,Parts per billion Carbon,No Events,1,100.0,Y,1.2,1.2,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-02-18,Parts per billion Carbon,No Events,1,100.0,Y,1.6,1.6,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
25,025,0041,45201,2,42.317372,-70.968359,WGS84,Benzene,7,24 HOUR,,2000-02-24,Parts per billion Carbon,No Events,1,100.0,Y,2.1,2.1,0,,146,6L PRESSURIZED CANISTER - PE8700;AUTO GC;SUBAMBIENT-DUAL FID,BOSTON LONG ISLAND,LONG ISLAND,Massachusetts,Suffolk,Boston,14460,"Boston-Cambridge-Newton, MA-NH",2013-06-11
